title,titleshort,imageURL,description,facet1,ASS,facet2,AMS,facet3,GIP,facet4
Construction Management,Construction_Management,image/construction.jpg,A program that prepares individuals to manage. coordinate. and supervise the construction process from concept development through project completion on timely and economic bases. Includes instruction in commercial. residential. mechanical. highway/heavy civil. electrical. environmental. industrial. and specialty construction; facilities management; project planning; budgeting and cost control; logistics and materials management; personnel management and labor relations; site safety; construction contracting; construction processes and techniques; organization and scheduling; and applicable codes and regulations.,Construction Trades,"$49,500","$40,000-$49,999","$86,100","$80,000-$89,999",73.94%,60%-79%
Education,Education,image/education.jpg,A program that focuses on the general theory and practice of learning and teaching. the basic principles of educational psychology. the art of teaching. the planning and administration of educational activities. school safety and health issues. and the social foundations of education.,Education,"$37,200","$30,000-$39,999","$55,000","$50,000-$59,999",47.85%,40%-59%
Elementary Education,Elementary_Education,image/education.jpg,A program that focuses on the general theory and practice of learning and teaching. the basic principles of educational psychology. the art of teaching. the planning and administration of educational activities. school safety and health issues. and the social foundations of education.This major offers teaching options in early childhood education and in elementary education (Kindergarten to Grade 6).,Education,"$31,400","$30,000-$39,999","$46,000","$40,000-$49,999",46.50%,40%-59%
Physical Education,Physical_Education,image/education.jpg,A general program that focuses on activities and principles that promote physical fitness. achieve and maintain athletic prowess. and accomplish related research and service goals. Includes instruction in human movement studies. motivation studies. rules and practice of specific sports. exercise and fitness principles and techniques. basic athletic injury prevention and treatment. and organizing and leading fitness and sports programs.,Education,"$33,400","$30,000-$39,999","$53,900","$50,000-$59,999",61.38%,60%-79%
Special Education,Special_Education,image/education.jpg,A career in special education is designed to enhance the capacity of society to accommodate and fully include persons with individual differences. This major focuses on teaching principles and methodologies. classroom and behavioral management. and the development of teaching materials for children and youths with mild. moderate. and severe disabilities. Career options include teachers. educators. counselors. educational leaders. rehabilitation professionals. and researchers.,Education,"$33,900","$30,000-$39,999","$48,900","$40,000-$49,999",44.25%,40%-59%
Actuarial Mathematics,Actuarial_Mathematics,image/engineering.jpg,A general program that focuses on the relationships between groups of measurements. and similarities and differences. using probability theory and techniques derived from it. Includes instruction in the principles in probability theory. binomial distribution. regression analysis. standard deviation. stochastic processes. Monte Carlo method. Bayesian statistics. non-parametric statistics. sampling theory. and statistical techniques.,Engineering,"$56,100","$50,000-$59,999","$112,000","$110,000-$119,999",99.64%,80%-99%
Aerospace Engineering,Aerospace_Engineering,image/engineering.jpg,A program that prepares individuals to apply mathematical and scientific principles to the design. development and operational evaluation of aircraft. missiles. space vehicles. and their systems; applied research on flight and orbital characteristics; and the development of systems and procedures for the launching. guidance. and control of air and space vehicles.,Engineering,"$62,500","$60,000-$69,999","$118,000","$110,000-$119,999",88.80%,80%-99%
Biomedical Engineering (BME),Biomedical_Engineering_BME,image/engineering.jpg,A program that prepares individuals to apply mathematical and scientific principles to the design. development and operational evaluation of biomedical and health systems and products such as integrated biomedical systems. instrumentation. medical information systems. artificial organs and prostheses. and health management and care delivery systems.,Engineering,"$54,900","$50,000-$59,999","$98,200","$90,000-$99,999",78.87%,60%-79%
Chemical Engineering,Chemical_Engineering,image/engineering.jpg,A program that prepares individuals to apply mathematical and scientific principles to the design. development and operational evaluation of systems employing chemical processes. such as chemical reactors. kinetic systems. electrochemical systems. energy conservation processes. heat and mass transfer systems. and separation processes; and the applied analysis of chemical problems such as corrosion. particle abrasion. energy loss. pollution. and fluid mechanics.,Engineering,"$67,500","$60,000-$69,999","$111,000","$110,000-$119,999",64.44%,60%-79%
Civil Engineering (CE),Civil_Engineering_CE,image/engineering.jpg,A program that prepares individuals to apply basic engineering principles and technical skills in support of civil engineers engaged in designing and executing public works projects such as highways. dams. bridges. tunnels and other facilities. Includes instruction in site analysis. structural testing procedures. field and laboratory testing procedures. plan and specification preparation. test equipment operation and maintenance. and report preparation.,Engineering,"$53,800","$50,000-$59,999","$88,800","$80,000-$89,999",65.06%,60%-79%
